UF;geo_imed;geocodigo;municipio2
23;Brejo Santo;2300101;Abaiara
23;Redenção-Acarape;2300150;Acarape
23;Acaraú;2300200;Acaraú
23;Iguatu;2300309;Acopiara
23;Juazeiro do Norte;2300408;Aiuaba
23;Sobral;2300507;Alcântaras
23;Juazeiro do Norte;2300606;Altaneira
23;Russas - Limoeiro do Norte;2300705;Alto Santo
23;Itapipoca;2300754;Amontada
23;Juazeiro do Norte;2300804;Antonina do Norte
23;Itapagé;2300903;Apuiarés
23;Fortaleza;2301000;Aquiraz
23;Aracati;2301109;Aracati
23;Redenção-Acarape;2301208;Aracoiaba
23;Crateús;2301257;Ararendá
23;Juazeiro do Norte;2301307;Araripe
23;Redenção-Acarape;2301406;Aratuba
23;Tauá;2301505;Arneiroz
23;Juazeiro do Norte;2301604;Assaré
23;Juazeiro do Norte;2301703;Aurora
23;Icó;2301802;Baixio
23;Quixadá;2301851;Banabuiú
23;Juazeiro do Norte;2301901;Barbalha
23;Redenção-Acarape;2301950;Barreira
23;Brejo Santo;2302008;Barro
23;Camocim;2302057;Barroquinha
23;Redenção-Acarape;2302107;Baturité
23;Fortaleza;2302206;Beberibe
23;Acaraú;2302305;Bela Cruz
23;Canindé;2302404;Boa Viagem
23;Brejo Santo;2302503;Brejo Santo
23;Camocim;2302602;Camocim
23;Juazeiro do Norte;2302701;Campos Sales
23;Canindé;2302800;Canindé
23;Redenção-Acarape;2302909;Capistrano
23;Canindé;2303006;Caridade
23;Sobral;2303105;Cariré
23;Juazeiro do Norte;2303204;Caririaçu
23;Iguatu;2303303;Cariús
23;São Benedito - Ipu - Guaraciaba do Norte - Tianguá;2303402;Carnaubal
23;Fortaleza;2303501;Cascavel
23;Iguatu;2303600;Catarina
23;Sobral;2303659;Catunda
23;Fortaleza;2303709;Caucaia
23;Iguatu;2303808;Cedro
23;Camocim;2303907;Chaval
23;Quixadá;2303931;Choró
23;Fortaleza;2303956;Chorozinho
23;Sobral;2304004;Coreaú
23;Crateús;2304103;Crateús
23;Juazeiro do Norte;2304202;Crato
23;São Benedito - Ipu - Guaraciaba do Norte - Tianguá;2304236;Croatá
23;Acaraú;2304251;Cruz
23;Quixadá;2304269;Deputado Irapuan Pinheiro
23;Russas - Limoeiro do Norte;2304277;Ereré
23;Fortaleza;2304285;Eusébio
23;Juazeiro do Norte;2304301;Farias Brito
23;Sobral;2304350;Forquilha
23;Fortaleza;2304400;Fortaleza
23;Aracati;2304459;Fortim
23;Sobral;2304509;Frecheirinha
23;Itapagé;2304608;General Sampaio
23;Sobral;2304657;Graça
23;Camocim;2304707;Granja
23;Juazeiro do Norte;2304806;Granjeiro
23;Sobral;2304905;Groaíras
23;Fortaleza;2304954;Guaiúba
23;São Benedito - Ipu - Guaraciaba do Norte - Tianguá;2305001;Guaraciaba do Norte
23;Redenção-Acarape;2305100;Guaramiranga
23;Sobral;2305209;Hidrolândia
23;Fortaleza;2305233;Horizonte
23;Quixadá;2305266;Ibaretama
23;São Benedito - Ipu - Guaraciaba do Norte - Tianguá;2305308;Ibiapina
23;Quixadá;2305332;Ibicuitinga
